program_kodu,uni_turu,universite,sehir,fakulte,program,puan_turu,kontenjan,yerlesen,taban_puan,tavan_puan
106510090,DEVLET,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ),KAYSERİ,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji (İngilizce),EA,40,40,380.15232,410.17757
106510089,DEVLET,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ),KAYSERİ,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce),EA,35,36,337.21961,399.42885
106510014,DEVLET,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ),KAYSERİ,Mimarlık Fakültesi,Mimarlık (İngilizce),SAY,50,52,358.12963,500.12106
106510077,DEVLET,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ),KAYSERİ,Mühendislik Fakültesi,Bilgisayar Mühendisliği (İngilizce),SAY,80,80,442.53227,504.07924
106510068,DEVLET,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ),KAYSERİ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği (İngilizce),SAY,50,50,430.68304,459.27326
106510023,DEVLET,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ),KAYSERİ,Mühendislik Fakültesi,Endüstri Mühendisliği (İngilizce),SAY,75,75,419.16586,447.44981
106510032,DEVLET,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ),KAYSERİ,Mühendislik Fakültesi,İnşaat Mühendisliği (İngilizce),SAY,30,31,335.75752,394.12129
106510041,DEVLET,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ),KAYSERİ,Mühendislik Fakültesi,Makine Mühendisliği (İngilizce),SAY,50,50,403.5398,432.24241
106510105,DEVLET,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ),KAYSERİ,Mühendislik Fakültesi,Malzeme Bilimi ve Nanoteknoloji Mühendisliği (İngilizce),SAY,20,20,386.70083,416.29952
106510087,DEVLET,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ),KAYSERİ,Yaşam ve Doğa Bilimleri Fakültesi,Biyomühendislik (İngilizce),SAY,65,67,327.86793,389.83582
