program_kodu,uni_turu,universite,sehir,fakulte,program,puan_turu,kontenjan,yerlesen,taban_puan,tavan_puan
200150352,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Meslek Yüksekokulu,Aşçılık (%50 İndirimli),TYT,31,31,276.66148,320.33031
200150361,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Meslek Yüksekokulu,Aşçılık (Burslu),TYT,4,4,416.44127,482.84324
200190088,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Meslek Yüksekokulu,Bilgisayar Programcılığı (%50 İndirimli),TYT,41,41,295.71964,358.20625
200190081,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Meslek Yüksekokulu,Bilgisayar Programcılığı (Burslu),TYT,7,7,383.15272,395.42545
200150767,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Meslek Yüksekokulu,Biyomedikal Cihaz Teknolojisi (%50 İndirimli),TYT,25,25,221.15206,305.05892
200150758,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Meslek Yüksekokulu,Biyomedikal Cihaz Teknolojisi (Burslu),TYT,4,4,345.67688,406.22272
200150661,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Sağlık Hizmetleri Meslek Yüksekokulu,Ağız ve Diş Sağlığı (%50 İndirimli),TYT,42,42,277.79007,332.57978
200150652,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Sağlık Hizmetleri Meslek Yüksekokulu,Ağız ve Diş Sağlığı (Burslu),TYT,6,6,370.41576,394.99894
200150688,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Sağlık Hizmetleri Meslek Yüksekokulu,Ameliyathane Hizmetleri (%50 İndirimli),TYT,40,40,256.01633,302.61108
200150679,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Sağlık Hizmetleri Meslek Yüksekokulu,Ameliyathane Hizmetleri (Burslu),TYT,6,6,345.53494,361.10248
200150255,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Sağlık Hizmetleri Meslek Yüksekokulu,Anestezi (%50 İndirimli),TYT,42,42,311.05705,351.8172
200150025,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Sağlık Hizmetleri Meslek Yüksekokulu,Anestezi (Burslu),TYT,6,6,393.48457,464.28475
200150334,VAKIF,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),İSTANBUL,Sağlık Hizmetleri Meslek Yüksekokulu,Diyaliz (%50 İndirimli),TYT,31,31,257.06382,311.20792
